bank_id,text,design_severity,style,anchor,university,WOPriority,SystemDescription,ComponentDescription
118133,STEAM LEAK ON Water Heater Steam Trap,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Steam Boiler, Gas Fired"
85399,Please change rubber coupling shaft,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
101936,Tension crank on basketball shooting machine is stripped and does not function anymore. Wondering if someone can look at it and see if it can be replaced.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Equipment,General Other Equipment
102019,Air leak by AHU 1 SF 2. copper line leaking at elbow,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Pipe & Fittings
119089,From Inspection 7100 Wet Alarm Valve Inspection Report - Needs Attention - need to adjust pressure on low water pressure sensor,LOW,workorder,7,7,P3 - Routine Type I (21 days),Fire Protection,Pipe & Fittings
103437,"Replace the o ring or repair the leak on the bypass filter canister,I have it isolated.",LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Unplanned Maintenance
90281,This bathroom stall door will not stay closed. The lock and the latch don't seem to quite line up. CARPENTERS added to shim door,LOW,workorder,7,7,P4 - Routine Type II (60 days),Interior Construction,Door Hardware
93037,Oil Change and Lubrication Services for Truck 29 are up please make appointment .Thanks,LOW,workorder,7,7,P3 - Routine Type I (21 days),Equipment,General Vehicular Equipment
82586,Check low pressure on North pre action fire system.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Fire Protection,Fire Sprinkler System
81141,"From Inspection 1956 Base - Minor Wear - Cracking and stained Photos 108, 278, 279",LOW,workorder,7,7,P3 - Routine Type I (21 days),Furnishings,General Fixed Furnishings
105095,Repair gas leak 35lb line came to building swing joint 90.out side between ED & CKHS,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Meter, Natural Gas"
93810,Repair leak on substation door. During last weeks rain there was water on the floor on the inside of the substation floor in front of the door,LOW,workorder,7,7,P4 - Routine Type II (60 days),Interior Construction,Door Hardware
125289,The broken latch on stall door,LOW,workorder,7,7,P3 - Routine Type I (21 days),Furnishings,General Fixed Furnishings
56,RC Air Handler 3- replace static pressure transmitters with 0-5'',LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
79601,ceiling leak - painters,LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Plaster Ceiling
100786,Domestic Booster Pump 1A noisy,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
97822,Scheduled Maintenance ED HWHP 003 coupler making noise ELECTRICAL: bearing hot and noisy,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
80426,Test high voltage hot sticks and ground clusters,LOW,workorder,7,7,P6 - Deferred,Electrical,Unplanned Maintenance
90304,Sump pump 022 float isn't working properly need electrical to look at float switch,LOW,workorder,7,7,P3 - Routine Type I (21 days),Plumbing,Sump Pump
117032,Can I please order a keycard for CK 160.2 for Russell Kohrs. His current one has expired. Thanks.,LOW,workorder,7,7,P3 - Routine Type I (21 days),Electrical,Keypad
83225,Coke would like to install a new coke machine on the counter but the new one will hit the suspended ceiling. Please see if we can modify so the new coke machine can fit. PNTRS added,LOW,workorder,7,7,P3 - Routine Type I (21 days),Interior Finishes,Vinyl Tile Dropped Ceiling
102828,Thermostat. Not sure it is working. Office temperature is hot.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,Thermostat
90039,Flange is leaking on Pump 4's line.,LOW,workorder,7,7,P3 - Routine Type I (21 days),HVAC,"Circulation Pump, Hot Water"
122372,From Inspection 7344 Oil Level - Needs Attention - Oil change required Check all the brakes. Loud squealing noise in rear wheel. Fix check engine error,LOW,workorder,7,7,P3 - Routine Type I (21 days),Equipment,General Vehicular Equipment
BRN_LAB16016844,PLUMBING FAUCET MALFUNCTION,MEDIUM,workorder,2,2,2-URGENT,Plumbing,Sink
UAF20-0010645,STANDBY: STEVENS HALL: GLYCOL PRESSURE WAS VERY LOW. NO COMPLETION NEEDED.,MEDIUM,workorder,3,3,2-URGENT,HVAC,Chilled Water Cooling System
95036,The ice machine in the back storage Main Kitchen Riddell Centre is leaking,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Equipment,Icemaker
FM-643919,Check the buzzing noise coming in from the vents in Andrews 33. It should be free on Wednesday morning before 9:00. (General Comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,General Systems Testing & Balancing
KCK_LAB17026982,PLUMBING PUMP MALFUNCTION,MEDIUM,workorder,2,2,2-URGENT,Plumbing,"Circulator Pump, Hot Water/Cold Water"
UAF13-0016370,STANDBY: WOOD CENTER: AHU-1 FAN FAILURE ON LOW TEMP **NO COMPLETION NEEDED.,MEDIUM,workorder,3,3,2-URGENT,HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
126396,"Please reissue a new VING card for the following: ED229/ED393.. expiry December 31, 2020 TO a Grad student: Yueming Liu, ID# 200318297 **She has lost her current card, can you please cancel it?**",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Keypad
FM-594231,"The cooling fans in A1 are stuck on at PPG, Room A1. Priority 2. This room can not control the temperature if the cooling fans are stuck on.",MEDIUM,workorder,9,9,2-URGENT,HVAC,Fan 
MEAD17071154,HVAC: STATIC PRESSURE OUT OF RANGE,MEDIUM,workorder,2,2,2-URGENT,HVAC,HVAC Control Panel
UAF11-0009182,SB: SOIL TEST AREA TEMP OUT OF RANGE,MEDIUM,workorder,3,3,2-URGENT,HVAC,Thermostat
101571,motor smells like something is burning. checked with thermo temp gun and when motor is running its at 135 or 57 C MECHANICAL added,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Fan 
FM-587569,There is a very loud noise coming from the 5th floor mechanical/fan room at NH east. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,General Systems Testing & Balancing
KRK_LAB17068697,HVAC: FUME HOOD AIR FLOW ISSUE,MEDIUM,workorder,2,2,2-URGENT,Equipment,Laboratory Exhaust Hood
UAF14-0031603,STANDBY: CTC: HEAT EXCHANGER 1 GLYCOL SUPPLY TEMP IN ALARM. **NO COMPLETION NEEDED**,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
114736,"Please reissue a VING card for the following: Vaibhav Puri, ID# 200397263 Access to ED229/ED355/ED392/ED393... expiry April 30, 2019 **Please cancel his current card**",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Keypad
FM-511071,Temperature in cold room B113C ANSC has been going up and is now too high according to jEMS. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
CAHILL17049825,BMS: FUME HOOD AIR FLOW ISSUE,MEDIUM,workorder,2,2,2-URGENT,Equipment,Laboratory Exhaust Hood
UAF13-0001912,BUNNELL PRINTING SERVICES RMS 137-142: RESPOND TO CEILING LEAK. LEAK IS IN THE MIDDLE OF THE ROOM NEAR THE WINDOWS. NOTIFIED STEVE BOTTASSO.,MEDIUM,workorder,3,3,2-URGENT,Plumbing,Pipe & Fittings
122298,Found LY 2 PB 00C surge suppressor in alarm. Will fix now. Jim C,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Distribution Panel Board
FM-689506,BEL pcw pump pressure differential alarm.,MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
K_SPALD18081800,PLUMBING FLUSH VALVE ISSUE,MEDIUM,workorder,2,2,2-URGENT,Plumbing,Toilet & Wash Basin
UAF20-0003980,STANDBY: STUART 5: LOUD HOWLING NOISE IN HALLWAY. COMPLETION NEEDED TO MAKE SURE SOUND IS GONE.,MEDIUM,workorder,3,3,2-URGENT,HVAC,Unplanned Maintenance
99143,Pump failed to run (mechanical) ELECTRICAL added to check motor,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Motor Starter
FM-569329,"JH. RM 174C. 65 degrees and the thermostat can not be adjusted. Not urgent, Larry Burgess turned the temperature up.",MEDIUM,workorder,9,9,2-URGENT,HVAC,Thermostat
363HILL17073000,ROOF: RAIN LEAK,MEDIUM,workorder,2,2,2-URGENT,Roofing,Concrete Roof
UAF19-0031820,STANDBY: AHRB: 147B TEMP OUT OF RANGE. COMPLETION NEEDED TO ADJUST ALARM TIMING LONGER TO PREVENT NUISANCE ALARMS.,MEDIUM,workorder,3,3,2-URGENT,HVAC,General Other HVAC Systems & Equipment
102423,there seems to have been leak from the heating system in ED 444.2,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Pipe & Fittings
FM-573487,The button to raise the temperature on the thermostat is not working in HARH 125. The room stays rather cool.,MEDIUM,workorder,9,9,2-URGENT,HVAC,Thermostat
SLOAN16015560,PLUMBING: LEAK,MEDIUM,workorder,2,2,2-URGENT,Plumbing,Pipe & Fittings
UAF14-0017538,"STANDBY: UPARK BLDG: MULTIPLE EQUIPMENT FAILURES, LIFT STATION CONTROL POWER, HEAT PUMPS ARTIFICIAL FAIL. **NO COMPLETION NEEDED**",MEDIUM,workorder,3,3,2-URGENT,Electrical,Power Supply
111836,Hot Chocolate machine at Tim Hortons Lab Café in not working.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Equipment,Appliances
FM-702673,"The 3rd stall in the women's restroom has had water leaking under the bowl. Custodial was contacted to clean, but it was determined that there may be a crack in the bowl. (General Comments)",MEDIUM,workorder,9,9,2-URGENT,Plumbing,Pipe & Fittings
UAF19-0010734,STANDBY: HESS VILLAGE 755D: TOILET WAS CONTINUOUSLY RUNNING. COMPLETION NEEDED TO CHECK FLUSH VALVE OPERATION.,MEDIUM,workorder,3,3,2-URGENT,Plumbing,Flush Tank Water Closet
101176,The lock on the handicap stall door fell apart. The pieces are on the counter of the washroom.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Furnishings,General Fixed Furnishings
FM-724189,"ANDR third floor women's restroom, toiled in the middle stall leaks.",MEDIUM,workorder,9,9,2-URGENT,Plumbing,Toilet & Wash Basin
UAF12-0020017,SB: KOTZEBUE: FIELD PANEL FAILURE,MEDIUM,workorder,3,3,2-URGENT,HVAC,HVAC Control Panel
119645,leak in air handler cooling coils on 3rd floor,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
FM-732510,Study area W213D is quite cold. The temperature is not known. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF12-0020134,SB: DILLINGHAM: SF3 TEMP IN ALARM,MEDIUM,workorder,3,3,2-URGENT,HVAC,Supply Fan
111633,Leak on valve body of control valve servicing VAV3-19. 1/2” connections and located in ceiling space in Galway directly outside room 350. Called out Saturday around 6:00pm,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Flow Control Valve
FM-600584,"At Temple in the basement men's restroom #22, the 1st stall stool has the flush valve stuck and will not shut off. Please check ASAP. (General comments)",MEDIUM,workorder,9,9,2-URGENT,Plumbing,Toilet & Wash Basin
UAF15-0018515,STANDBY: FA ARTS: HX2 GLYCOL PRESSURE IN ALARM WITH VALVE 7PSI. **NO COMPLETION NEEDED**,MEDIUM,workorder,3,3,2-URGENT,HVAC,Pressure Reducer Valve
117116,Low pressure alarm. Make a WO for controls and one for pm,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Direct Digital Controls
FM-573119,"Ceiling leak in ANSC room B203, also some water in a light fixture from the leak.",MEDIUM,workorder,9,9,2-URGENT,Plumbing,Pipe & Fittings
UAF09-0025804,SB: SF14 TEMP OUT OF RANGE,MEDIUM,workorder,3,3,2-URGENT,HVAC,Supply Fan
101719,Shut off valve for hot water to kitchen tap needs to be looked at. Not leaking now but signs it has been in past.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Plumbing,Sink
FM-607874,There is not heat at FME. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF11-0015513,"CI: PUMPS NOT WORKING, LOW HEAT",MEDIUM,workorder,3,3,2-URGENT,HVAC,"Circulation Pump, Hot Water"
86719,On the womenâ€™s toilet handicap when it is flushed the water came out from the pipe of the pump,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Plumbing,Toilet & Wash Basin
FM-517308,"SHEL room 109 is cold, the temperature shows 65 degrees. (General Comments)",MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF15-0031816,STANDBY: BROOKS: HEAT PUMP FAILED. **COMPLETION NEEDED TO RESET AND REPAIR HEAT PUMPS IF NEEDED.,MEDIUM,workorder,3,3,2-URGENT,HVAC,"Circulation Pump, Hot Water"
105404,"200399695 , Walia, Gaurav. This is a request to add after hours access for elevator and washroom to his current fob, Thank you!",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Keypad
FM-626116,At BENH server room 303 is getting too warm. The temperature is not known by the reporter. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF13-0009594,STANDBY: SRC: RESTART AHU-1 AFTER SHUTDOWN FOR FUMES. NO COMPLETION NEEDED.,MEDIUM,workorder,3,3,2-URGENT,HVAC,"Air Handler, Exhaust/Multizone/Single Zone"
83961,"Motor for south basketball hoop on east court made loud noise, thinking motor just blew. Will need to get replaced ASAP as hoop is not functional.",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Equipment,General Other Equipment
FM-543957,The toilet in the women’s restroom handicap stall in Plant Science 2nd floor is constantly flushing.,MEDIUM,workorder,9,9,2-URGENT,Plumbing,Toilet & Wash Basin
UAF12-F028405,1ST FLR MENS: INVEST/REPR LEAK,MEDIUM,workorder,3,3,2-URGENT,Plumbing,Pipe & Fittings
129816,The toilet in the last stall is flushing too fast and overflowing the bowl,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Plumbing,Toilet & Wash Basin
FM-696482,LLS 319A (NE corner of LLS) sensor beeping in the room. (General Comments),MEDIUM,workorder,9,9,2-URGENT,Electrical,Occupancy Sensors
UAF18-0022617,STANDBY: BROOKS: 305.HX1.GP IN ALARM LOW. COMPLETION NEEDED TO CHECK EXP TANK & SENSOR FOR SETTINGS AND ACCURACY.,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
103246,KI 272.1 - light seems to flicker periodically. Sensor is not functioning properly.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Fluorescent Lighting Fixture
FM-680039,Small leak in thread part of gas hose in Room 212. (General Comments),MEDIUM,workorder,9,9,2-URGENT,Plumbing,Pipe & Fittings
UAF15-0016431,"STANDBY: 714C CHANDALAR: TOO COLD, HEAT PROBLEM. COMPLETION TO CHECK HEAT (FOLLOW UP).",MEDIUM,workorder,3,3,2-URGENT,HVAC,Thermostat
85778,There is a new stained ceiling tile near the door marked LY 107.18.2 in LY 107.18.4. Can the reason for the leak be looked into and the ceiling tile replaced. Thank you.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Interior Finishes,Vinyl Tile Dropped Ceiling
FM-688538,Arch Hall Room 130 has been very cold lately. Students have been asking if it is possible to make some temperature adjustments to this room. Thanks (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF08-0027592,SB: TEMP LOW HX-1,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
128312,May you turn the heat on in CB 210 Floyd would like to tune the piano there this afternoon and we need the room at occupied temperature before that happens.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Thermostat
FM-657608,KCR system trouble and low pressure sprinkler system. (General comments),MEDIUM,workorder,9,9,2-URGENT,Electrical,Security Control Panel
UAF13-0019835,STANDBY: AFES PALMER FARM: FAILURE ON FIELD PANEL 99 ON TRUNK UAF_AFES,MEDIUM,workorder,3,3,2-URGENT,HVAC,HVAC Control Panel
98670,Pump failed to run (mechanical),MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,"Circulation Pump, Hot Water"
FM-660751,I noticed we have a large leak coming down the inside of one of the walls on the Northside entrance of the building. (Photo attached) (General comments),MEDIUM,workorder,9,9,2-URGENT,Plumbing,Pipe & Fittings
UAF07-0000446,CONF RM: REPAIR ROOF LEAK,MEDIUM,workorder,3,3,2-URGENT,Roofing,Concrete Roof
67445,Investigate ground fault on panel,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Fire Protection,Fire Alarm Control Panel
FM-551573,Emergency pump on top of the grade in the ANSC pit is not working. (General comments),MEDIUM,workorder,9,9,2-URGENT,Plumbing,"Circulator Pump, Hot Water/Cold Water"
UAF14-0013777,STANDBY: IRVING I: CHAMBER 2 HIGH TEMPERATURE ALARM. **NO COMPLETION NEEDED**,MEDIUM,workorder,3,3,2-URGENT,HVAC,HVAC Control Panel
79129,Eye wash station temperature is too hot.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Plumbing,Emergency Eye Wash
FM-512900,In CBA 300A the heat does not seem to be working (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF13-0027851,STANDBY: AURORA BLDG: FAILURE FURNACE ALARM.,MEDIUM,workorder,3,3,2-URGENT,HVAC,"Furnace, Gas/Oil/Electric"
97611,Mechanical and UTM crew checking all chilled water related equipment and coils for loss of chilled water. Potential leak from some source.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,Pipe & Fittings
FM-622541,Housing is very loose for the feminine hygiene disposal unit in the central stall in HAH fourth floor women's restroom. (General comments),MEDIUM,workorder,9,9,2-URGENT,Furnishings,General Fixed Furnishings
UAF20-0002703,STANDBY: FA/ MUSIC: 312. HX1. PCA PUMP CRIT ALARM. COMPLETION NEEDED TO CHECK PUMP ALARM.,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
115397,broken lock in stall door,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Interior Construction,Door Hardware
FM-714380,Loss of Steam Pressure to building (General Comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,Pipe & Fittings
UAF19-0012250,KUSKOKWIM CAMPUS: YUPIK LANGUAGE CENTER: MECH RM: DISTRICT HEAT LINE GLYCOL LEAK SEE EXTRA DESCRIPTION,MEDIUM,workorder,3,3,2-URGENT,HVAC,Pipe & Fittings
83659,Seal is leaking when running. Also there a small leak coming from check valve lever. ELECS added to replace motor bearings,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
FM-614044,(After hours) OTHM.WATER_RO.FILTER.ALARM Low pressure and filter needs to be changed ASAP. Alarm came in at 6:40am. Zones will need to take care ASAP.,MEDIUM,workorder,9,9,2-URGENT,Plumbing,Reverse Osmosis/Deionized Water System
UAF14-0026569,STANDBY: FA MUSIC: LEAK AT STAIRS FROM SCENE SHOP TO DAVIS HALL. **COMPLETION NEEDED TO DETERMINE LEAK AND CORRECT**,MEDIUM,workorder,3,3,2-URGENT,Stairs,General Stair Finishes
118805,"the lock of handicap stall has a mechanism problem, the staff complain it is hard to close and open, thanks",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Interior Construction,Door Hardware
FM-554191,"At ANSC there is a water leak in the west entrance door. Also, there is water on the floor by room D108. (General comments)",MEDIUM,workorder,9,9,2-URGENT,Exterior Enclosure,"Wood, Exterior/Painted/Glazed"
UAF15-0028272,STANDBY: GRUENING: GLYCOL PRESSURE ALARM. **NO COMPLETION NEEDED**,MEDIUM,workorder,3,3,2-URGENT,HVAC,HVAC Control Panel
88634,KI 827.6 - light sensor is not working.,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Electrical,Fluorescent Lighting Fixture
FM-717468,NH E421F is cold. The temp is hovering around 60 degrees. (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF12-0018161,SB: HX-1 TEMP OUT OF RANGE,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
83519,Chilled water pump 2 is in alarm. - mechs,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),HVAC,"Circulation Pump, Chiller & Condenser Water"
FM-539095,"Kiln on the west side of Richards Hall is leaking gas, not a dangerous leak but needs attention ASAP.",MEDIUM,workorder,9,9,2-URGENT,Special Construction,Pipe & Fittings
UAF18-0020192,STANDBY: LATHROP 107: LEAK COMING FROM CEILING. TILES FALLING. COMPLETION NEEDED TO REPAIR LEAKY PIPE.,MEDIUM,workorder,3,3,2-URGENT,Interior Finishes,Vinyl Tile Dropped Ceiling
130250,Door lock/catch not working in the last stall,MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Furnishings,General Fixed Furnishings
FM-639442,WICK HHWG_RHT system is in critical low return pressure alarm (General comments),MEDIUM,workorder,9,9,2-URGENT,HVAC,HVAC Control Panel
UAF10-0025385,SB: LOW GLYCOL PRESSURE HX #1 SYSTEM,MEDIUM,workorder,3,3,2-URGENT,HVAC,Heat Exchanger
83340,"Subway Restaurant in the Lab Building, a hose from the ice machine was knocked out of the collar leading to the floor drain leading to water pooling on the floor. Possibly the hose is to short",MEDIUM,workorder,7,7,P2 - Urgent/Expedited (3 days),Equipment,Icemaker
